society,price,place,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
sugam park,0.55,narendrapur,4500.0,1222.0,Super Built up area 1151(106.93 sq.m.),3.0,2,1,3,,Old Property,South,1151.0,,,0,0,0,0,0,2,41.0
ideal aquaview,0.71,new town,7176.0,989.0,Super Built up area 1080(100.34 sq.m.),2.0,2,1,3,North-East,New Property,East,1080.0,,,0,0,0,0,1,0,62.0
balaka apartment,1.5,dum dum,7727.0,1941.0,Super Built up area 2200(204.39 sq.m.),3.0,3,3,7,South-East,New Property,North,2200.0,,,1,0,0,1,0,1,41.0
prince anwar shah,1.2,pr,9230.0,1300.0,Super Built up area 1680(156.08 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3.0,3,1,3,North-West,Old Property,South,1680.0,1600.0,1300.0,0,0,0,0,0,0,70.0
elanta,4.0,ballygunge,12000.0,3333.0,Super Built up area 2801(260.22 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4.0,4,2,1,West,New Property,South,2801.0,,2000.0,0,1,0,0,0,0,46.0
dlf new town heights,2.1,new town,6578.0,3192.0,Super Built up area 3192(296.55 sq.m.),4.0,6,2,15,,Relatively New,East,3192.0,,,0,1,0,0,0,2,89.0
siddha eden lake ville,0.9,bonhooghly,10000.0,900.0,Super Built up area 1300(120.77 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3.0,3,1,11,South-East,Relatively New,North,1300.0,1000.0,900.0,0,0,0,0,0,2,118.0
ballygunge palace,1.45,ballygunge,10357.0,1400.0,Super Built up area 1400(130.06 sq.m.),3.0,2,1,4,,Moderately Old,South,1400.0,,,0,0,0,0,0,0,0.0
skyline harmony,0.9,garia,7468.0,1205.0,Super Built up area 1205(111.95 sq.m.),3.0,2,1,3,North-West,Moderately Old,South,1205.0,,,0,0,0,0,0,1,104.0
ps one 10,1.3,new town,11200.0,1161.0,Super Built up area 1116(103.68 sq.m.),3.0,2,1,15,,Under Construction,East,1116.0,,,0,0,0,0,0,0,90.0
srijan midlands,0.34,madhyamgram,3644.0,933.0,Super Built up area 933(86.68 sq.m.)Carpet area: 714 sq.ft. (66.33 sq.m.),2.0,2,1,2,,Old Property,North,933.0,,714.0,0,0,0,0,0,0,103.0
aashiyana complex,0.52,narayanpur,4740.0,1097.0,Super Built up area 1097(101.91 sq.m.),3.0,2,1,2,North,Relatively New,North,1097.0,,,0,0,0,0,0,0,46.0
unimark springfield,0.85,rajarhat,6273.0,1355.0,Super Built up area 1355(125.88 sq.m.),3.0,2,1,9,North-East,New Property,East,1355.0,,,0,0,0,0,0,0,47.0
diamond city south,1.3,tollygunge,9059.0,1435.0,Super Built up area 1435(133.32 sq.m.)Built Up area: 1105 sq.ft. (102.66 sq.m.)Carpet area: 1004 sq.ft. (93.27 sq.m.),3.0,2,1,19,North-East,Old Property,South,1435.0,1105.0,1004.0,0,0,0,0,1,0,123.0
ideal regency,0.81,behala,5500.0,1473.0,Super Built up area 1435(133.32 sq.m.)Built Up area: 1148 sq.ft. (106.65 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3.0,2,1,9,North,Moderately Old,South,1435.0,1148.0,1100.0,0,0,0,0,0,2,153.0
sundowner's co-operative housing society,0.85,salt lake,8095.0,1050.0,Super Built up area 1050(97.55 sq.m.)Carpet area: 887 sq.ft. (82.4 sq.m.),3.0,2,2,3,,Old Property,North,1050.0,,887.0,0,0,0,0,0,0,0.0
